,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
The 'Billing Period' on invoices to include more detail specifying the charges are over three months/the quarter.  I have advised this customer that the date range is included but they don't feel it's clear enough (please see intercom thread for more info).,22/7/2024,Ethos Farm,UK,Admin,Delay in invoices being processed by customer ,Expand on the detail in invoices specifically around the billing period,Complex,120,250-2000,Corporate Services,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/5676798/conversation/87413502016780?view=List,Sagal Ali,Customer Experience,,,,,,,,
" have one suggestion that perhaps could be taken into consideration for future developments. We have auto-anniversaries setup to acknowledge each year anniversary. These are now taking up the majority of our recognitions on the celebration page, which means the other celebrations and shout-outs tend to get buried a bit. It would be great if these could be filtered out or displayed on a separate page to ensure that people don't miss the other recognitions.


For example the screenshot below, the 5 highlighted ones are anniversaries, and the other two get a bit lost:",23/7/2024,Veris Australia,AU,Admin,Improving ease of use,Better filters for different type of recognitions,Complex,60,450,Construction,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502066716?view=List,Felicia Goutama,Recognition & Rewards,,,,,,,,
Customer has suggested that left over Flexi-Points and Reward Points be donated to a charitable cause once they've left the business or once the company has churned.,24/7/2024,A Plan Insurance,UK,Admin,Illustrates that we're helping support charitable causes,Donation,complex,100,"2,600",Insurance,https://app.intercom.com/a/inbox/effyqzrr/inbox/conversation/87413501976305?view=List,Ben Newcombe,Wallet & Payments,Not Priority,"Ben Newcombe It's a great idea, they can do this manually before deactivation. For internal use: for Perkbox as a business, these leftover points are profit.",Maria,,,,,
Regarding the Culture Hub & Custom Benefits on the platform - the ability to drag and drop and re-rder without having to delete/edit,24/7/2024,Dog's Trust,UK,Admin,Reduces Admin burder - better user experience,drag/drop functionality,complex,,1750,Charity,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/5684800/conversation/87413502071995?view=List,Ben Newcombe,Customer Experience,Under Consideration,,,,,,,
Admin wants to be able to reclaim back reward points that are unspent by users ,24/7/2024,BC Services UK ,Global & UK,Admin ,Feel like they loose monty this way if not spent they can use the RPs to gift another user rather than loose all together ,,complex,,71,Heating solutions,https://us-30924.app.gong.io/call?id=8615524249225413454,Aneasa Hussain ,Wallet & Payments,Not Priority,"Aneasa Hussain We have a feature to reclaim points from manager's wallets in the backlog, but user's wallets will remain unaccessible for admins. Instead, we countinuosly work on improving user experience, deals and comms to stimulate users to spend their points. For internal use: our financial model doesn't allow this. ",Maria,,,,,
Admin wants to be able to move culture hub - Futher up the page shows at bottom and keeps getting lower,27/7/2024,Army benevolent fund,UK ,Admin ,The signed for 3 years as wanted a place to showcase thier culture since more lanes have been added culture hub now shows at the bottom of page and they want it at the top,Create moveable widgets,Nurture,,85,National Charity ,,Aneasa Hussain ,Perks & Mobile,In Progress,Aneasa Hussain this is something under active development for the apps,,,,,,
Only send billing-related comms to specific Admins. This customer have to remove their CEO as Admin because he was also receiving all invoice payment reminders,25/7/2024,Veris Australia,AU,Admin,Better customer experience,,Complex,60,450,Construction,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502073029?view=List,Felicia Goutama,Customer Experience,,,,,,,,
"Update error message that users see when a voucher is out of stock.  
Ebury are a £78k ACV customer who do not have FP and mainly use Reward (have a £50k subscription).  Most users across their regions are spending their points on Amazon.  Admin has had complaints about the vague error messages when trying to redeem (e.g. Amazon Reward in Spain showing an ""oops, error"" message).  For context - in this instance, it was the CPO (budget holder and decision maker) in Spain who had this error message.  They're also getting similar feedback from other users.  If a voucher is out of stock and is the reason they're unable to redeem, it would be better received if the error message explained this as opposed to a vague ""oops"" error that could lead people to believe the platform is faulty.",25/07/2024,Ebury - Admin and User,Global,Admin and User reporting the same feedback,Admin will have trouble justifying a renewal in Feb 2025 if they continue to get negative feedback from users,Update error message when redeeming vouchers,Global,120,250 - 2000,Financial Services,,Sagal Ali,Perks & Mobile,Under Consideration,Sagal Ali this can be considered. I'll reach out to you for more information.,,,,,,
"Reducing the number of reminders sent to users after the account is created (before it's activated). I've just heard a feedback that the current number of emails sent (one welcome + 4 nudges as this is apparently the current number) is excessive. If this is the number of notifications we want to provide to majority of tenants, the admin would appreciate being able to manage how many numbers of emails (or the frequency) themselves to avoid their employees complaining to their HR team about this. ",29/07/2024,"PrimaryBid Limited
, ",Global,Admin,Better customer experience,"Allowing us (or the admin) to adjust the frequency of invitation emails, as at that point the employee is not able to manage their own notifications",Global,80,101-250,Computer Software,,Ewelina Dudzik,Customer Experience,,,,,,,,
"An admin has shared their pain points regarding Rewards: the inability to adjust the ""name"" of the Reward sender (as they can with work anniversary automations). Another issue is that they cannot access a shared RP's wallet and that each admin requires their own allowance. These two points lead them to use a general HR Team PB account, which involves setting up 2FA with a phone number owned by a single person.",29/07/2024,La Orange Limited,UK,Admin,Better customer experience ,"Allowing all RPs in admin wallets to be available by all admins on the account (or adding a third level of permissions to the account), and just like with automations, giving admins an option to type the sender's name, so instead of the employee name, they can type that the Reward comes from the People Team, HR team, CEO etc. ",Simple Domestic,60,<100,Financial Services,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,Ewelina Dudzik- this is under consideration. ,,,,,,
One single points currency on Perkbox. Accident Exchange have fed back that it is very confusing for employees when they recieve their Flexi Points and then they try to spend them in the rewards catalog. They were speaking to a prospect as a Perkbox advocate but the prospect raised that they had found the points confusing. ,30/07/24,Accident Exchange,UK,Admin,Better customer experience ,One currency,,,650,Insurance ,,Kelly Short,Wallet & Payments,,,,,,,,
"A user got in touch with the CH team to ask how they can share a voucher with someone else as a gift. I advised that we don't recommend that users do this for multiple reasons, but appreciated why they'd want this functionality. They shared that they'd like a feature to do this in the future.",30/07/2024,VolkerWessels UK,UK,User,"Encourages further platform adoption if users are also buying for other people, and keeps it 'above board' considering CH are aware of users doing this already, against advice.",I can imagine maybe having an 'Is this a gift?' option for users in the checkout flow where they could enter a name and email address for the person they want to gift it to - this could also allow CH to have some confidential details for an individual to confirm if they contacted us about an issue with a voucher they were gifted by someone else.,Large Global,160,3700+,Corporate Services,,Sofie White,Perks & Mobile,Under Consideration,Sofie White we had considered allowing a users to share their vouchers with someone else of their choice but this hasn't been prioritised yet. Great shout on having some reference of who it is shared with.,,,,,,
"Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",31/07/2024,Monoova,AU,Admin,"Increase usability. Another low effort, high impact things that Admin loves","Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",Simple Domestic,40,75,Financial Services,,Felicia Goutama,Recognition & Rewards,Under Consideration,Felicia Goutama we plan to launch the birthday automaion with a recognition getting triggered on the feed. Noted on the greeting card suggestion.,Hardeep ,,,,,
"A user has been in touch with CH as they were disappointed with the experience after a failed Uber Flexi Perk redemption. They attempted to buy the Perk twice and it failed, and the Perk was then switched offline automatically - but the user felt there wasn't enough information in the error messages to explain whether this was something they could fix (ie, clear cache and cookies, reboot app, etc), or if it was a PB issue (it was, it was a stock driver failure). Also, they mentioned that once the Perk was offline they felt there wasn't enough info to explain WHY the Perk was off (again, was it something on their side or PBs?) - they wanted more info about what was being done to fix the Perk, an expected ETA to expect the Perk back online, and a notification button if it's not fixed in that time.",31/07/2024,Kuda Technologies,Nigeria,User,Better customer experience,"Clearer, more detailed info on error messages, and more visibility around offline Perks. Clearer ETA to expect Perks back online, and a notification bell to alert users when a deal is back on?",Large Global,160,600+,Financial Services,,Sofie White,Perks & Mobile,Under Consideration,"Sofie White this is great input. While we are internally aware of why this issue occurred, I can see why the user might be confused. We will work on improving error messages. ",,,,,,
"I just wanted to mention something that we came across this week on Perkbox that might be a good future improvement for the platform.

I deactivated an account a few weeks ago but had a greeting card scheduled for them to be published this week. It looks like the greeting card wasn't automatically deleted when the account was deactivated. So, then this week the team members who had been invited to add to the greeting card were all sent email reminders to add to the greeting card for someone who no longer works with us.

I'll know to check this for next time, but I thought I'd raise it with you because it could be something to consider in further improvements of the platform. It would be very helpful if scheduled greeting cards are also deactivated when the recipient has been deactivated.",1/8/24,Australian Payments Network,AU,Admin,,scheduled greeting cards or any recognitions are also deactivated when the recipient has been deactivated.,Simple Domestic,,65,Financial Services,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502087166?view=List,Felicia Goutama,Recognition & Rewards,Not Priority,Expect limited occurances of this. noted and added to the hygine bucket. ,,,,,,
"Hello! I spoke with a prospect earlier, Thredd who are 200 employees. They are currently an RG customer but are looking to move away from them. They like the PB offering but one thing they were very keen for was some kind of technical functionality which means that for example only some employees on certain salaries could see certain benefits (such as PMI), or another example was a benefit like PMI only becomes visible after 6 months. They have something like with with RG but they did say it fails a lot. I know we can host benefits on PB currently, but do we have any plans to develop this so companies are able to do more than host, so they would be able to add certain rules and customisations so when benefits become visible and who to? ",01/08/24,prospect - Thredd,"UK, USA, Spain, Australia",Prospect,,,Global,,200,Fintech,,Kelly Short,I dont know sorry!,Under Consideration,,,,,,,
Admins states the automamtion of work ani would be better if it said how many years as well as tell users is for a work anniversary - As when they have loads its confusing ,1/8/24,CCL Forensics lts,UK,Admin ,,Allow automation to show on feed its for a work anniversary or birthday ,Complex dom,,154,Cyber security ,,Aneasa Hussain ,Recognition & Rewards,Not Priority,"Aneasa Hussain- noted on the suggestion. Splitting into feeds is not a priority at this time, aware that bonusly has the functionality - shall consiuder as we see a rise in the number of recogntions per tenant. ",,,,,,
"An admin from this tenant has shared some feedback regarding the login process - they log in via SSO which has MFA set up on their account, but since they're an admin, they also have to have MFA on Perkbox. They were only recently updated to have admin permissions, and have shared feedback saying they would have appreciated more context when asked to set up MFA for Perkbox for the first time.",05/08/2024,United Learning,UK,Admin,"Interesting to look into ease-of-login for admins with SSO, and more contextual information to keep admins informed and happy with our security measures.","Copy on the MFA verification pop-up that explains, due to their platform permissions, they must have MFA.",Complex dom,60,7000+,Schools & Education,,Sofie White,Customer Experience,,,,,,,,
"This admin wondered if they could automate their starters and leavers being activated and deactivated on PB without needing to sync with their HR directory - they've had to request to unlink an employee's account with their directory sync since the employee is on garden leave, and is still allowed access to PB but their account on Azure needs deactivating. They asked if they could then automate the deactivation on their last day of employment, even though they won't be synced with their directory by that time.",05/08/2024,RGF Staffing UK,UK,Admin,Helps automate work for admins who aren't/can't sync with a directory.,Potentially an 'activate on [date field]' and a 'deactivate on [date field]' option on an employee's profile on the Admin Hub.,Large Global,120,1000+,Corporate Services,,Sofie White,Customer Experience,,,,,,,,
Admin would like to see whoever has liked a recognition for their reference,6/8/24,Beyond Bank,UK,Admin,,Add a function to see who has liked a recognition by hovering over the like button,Domestic,,250 - 2000,Financial Services,,Bernadette Wong,Recognition & Rewards,Not Priority,,,,,,,
"The new recognition flow makes it difficult for employees to see that they can attach Celebrations and Values. Previously, it felt like a necessary step to complete recognition, but now, with the need to click ""+"" to add these elements, people tend to skip them. Additionally, they would prefer to see Value come first (currently it appears as ""+ Celebration + Value""). Could you consider this feedback in the design of the new Perkbox app? 

It's a very important customer, our superstar in recognitions and the main source of references for our sales team.",07/08/2024,Northcott,AU,Admin,Helps align recognitions with company Values,change layout,Complex dom,,2600,"Civic, Non-Profit and Membership Organizations",,Kate Sukhacheva,Recognition & Rewards,Under Consideration,"%age of recognitions created with a value/celebration associated has increased after we made the change - hence we would not want to go back to what it was previously.

Having value appear first and celebration second - will consider this to figure out broader applicability and also the effort involved to make the change.",,,,,,
"General suggestions; 1) Manager notifications each time an individual in their team is recognised 2) weekly round ups for managers, whereby they receive a scheduled emails each week showing them who in their teams have been recognised, preventing any missed opportunities. 3)slack integrations for recognition similar to the one we have with MSTeams 4) A modifiable reward moment for a client, so that they can name it whatever is applicable to their org 5) FBT reporting - from my experience this has been a critical element for many organisations purchasing decision and a huge admin burdem",07/08,NA,AUS,Manager/admin visibility,"These are all elements that Reward Gateway has and features that are valued by clients, as it is positioned as an empowerment tool for managers thus having a wider impact on retention/heirachy of needs etc - Happy to provide more context if needed",Notifcations and emails,,,,,,Laura O'Connell,Recognition & Rewards,Under Consideration,,,,,,,
"An admin has asked us to enhance the share functionality of our Greeting Cards, as it takes too long for them to add every single person separately. They would like the ability to share with particular teams or the entire company simultaneously. I'm pretty sure this was already shared in the past, but I just wanted to ensure that you're aware such product requests are still being raised.",07/08/2024,Admin - Spirit Healthcare Ltd,UK,Admin,User experience + increase the usage of Greeting Cards,"Adding share functinoalities, just like with polls - particular teams, or every one.",Complex Dom,100,<100,Retail,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,,,,,,,
"We've had a request from our Executives and CEO for the ability to provide a channel for recognising employees ahead of our quarterly/ad hoc townhalls. Our Comms team have provided an interim solution where there is a form to fill in (screenshot below) and they wil colate it all and add to the Townhall global slides. I'm really keen that we can leverage Perkbox for this, is there a way where employees could do this? Does Perkbox allow for this type of recognition? Ideally we want employees to be able to upload a video (upto 15 sec) or attach pictures - I have advised that we are woeking on anonomysed polls which could work well for this kind of recognition. The option for images/video  are something they are really keen for",07/08/24,Wood Mackenzie,Global,Admin,,Adding an option to insert image/video to recognitions/polls,Large Global,180,2500,Corporate Services,,Kerrie Statham,Recognition & Rewards,Under Consideration,,,,,,,
"Birthday / Work anniversary automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays / anniversary and invite everyone from the person's team to add messages to it. This Admin currently use Greeting Cards for their bdays & anniversaries and don't want to use the Automations because then there'll be a double up. They love the greeting cards template but wish this could be part of the automations. ",8/8/24,Australian Payments Network,AU,Admin,"Increase usability. Another low effort, high impact things that Admin loves","Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",Simple Domestic,,65,Financial Services,,Felicia Goutama,Recognition & Rewards,Under Consideration,,,,,,,
"Complain from the admin regarding Reward POints simplification:

Hi Kate I understand that they are reversible however I feel the communication on this was very poor the emails that was sent looks like marketing material not material to tell us that our points were changing dramatically I also feel that your system should tell us the amount of money not just the points as this is confusing and as you can imagine I'm on maternity leave and one of my staff members has given points to our members at a higherdollar figure then what should've been given we have gone into change emails that haven't used yet I would really appreciate if you could get your team to reverse these charges

I disagreed with the admin's claim about poor communications, reminding them that Perkbox sent multiple emails, intercom messages, banners, and wallet notifications. However, the admin is right that it's currently impossible to see the dollar equivalent when sending reward points. Is it something we can add to our reward floe via admin wallets? ",08/08/2024,Suttons,AU,Admin,more visibility over RP sent in $,ad a message similar to what admins/managers can see when sending RP via recognitions,Complex Dom,,1355,Automotive,,Kate Sukhacheva,Recognition & Rewards,Launched,,,,,,,
"I do try and mention the new perks in our newsletter but if people don't read that they seem not to know about them, perhaps the "new perks" section could be higher up in the app? Just as a potential suggestion for the future.",09/08/2024,optiver,AU,admin,more visibility over new perks,,Large Global,120,450,Financial Services,,Kate Sukhacheva,Perks & Mobile,Under Consideration,"Kate Sukhacheva we already have a new perks lane on the platform. With the impending changes coming to the platform, we're looking to address this too. ",,,,,,
A prospect has asked whether they can scrape recognition data out of Celebration and into their own intranet for better visibility internally via either API or Webhook,9/8/2024,prospect - DEA Aviation,UK,Prospect,,"GD - Could the social feed be RSS Feed compatible, to pull through onto TV screens, iFrames etc?",Domestic,,220,Aviation,,Olly Walker,Recognition & Rewards,Not Priority,,,,,,,
"Customer completed onboarding checklist after activating new account. Wording of ""Complete these actions to unlock exclusive benefits tailored just for you"" felt misleading as this just refers to accessing Perkbox.",12/8/24,Crowne Plaza Canebrra (IHG),AU,User,,"Resolve wording to something along the lines of ""complete these actions to unlock the full potential of Perkbox, tailored just for you""",Domestic,,<100 (part of larger account),Hospitality,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/6859606/conversation/87413502101604?view=List,Bernadette Wong,Customer Experience,,,,,,,,
Greetings card feedback from the customer: We had thought the greeting card would be actual virtual card with all the signings in it. But it was more of a post with comments and no card.,12/08/2024,Victory Services Club,UK,Admin,"enhancement to greetings card feature that would mean this tenant uses it, they would like a virtual card rather than postings so won't be using it. ",Create a virtual card to open in platform.,Domestic,100,100-250,Hospitality,,Catherine Adamson,Recognition & Rewards,Not Priority,,,,,,,
"Recognitions, specifically those as part of automations, are being shown to the whole tenant rather than just the recipient - the Admin would like the option to edit the visibility of the recognition. ",12/08/2024,Anwyl Construction Company Limited,UK,Admin,New customer using automations for the first time - would like them to be private,Ability to change visibility of recognitions after they have been posted,,,,,,Steve Hanmer,Recognition & Rewards,Not Priority,"Very bespoke need here, will be good for us to understand why they do not want this to be visible on the feed.",,,,,,
"Being able to have an alias for a normal reward transfer. This already exist for automations, but been getting a couple of request for Admins to be able to do a reward transfer on another person's behalf - usually for Exec Team and their PA would do this on their behalf but it comes from them",13/08/2024,"Willow 
Veris Australia",AU,Admin,,"Being able to have an alias for a normal reward transfer. This already exist for automations, but been getting a couple of request for Admins to be able to do a reward transfer on another person's behalf - usually for Exec Team and their PA would do this on their behalf but it comes from them",Global,,"400
300","Financial Services
Engineering",,Felicia Goutama,Recognition & Rewards,,,,,,,,
Having a reporting line manager in the system so platform can notify managers of their employee's bday & work anniversary,13/08/2024,RGF Staffing,AU,Admin,,,Global,,700,Corporate Services,,Felicia Goutama,Recognition & Rewards,,,,,,,,
Clearer messaging for online/in-store only restrictions. User has suggested adding it to tile to be displayed during search for visibility.,14/08/24,Newby Teas,UK,User,"More visibility for terms, less tickets through CH",Add further clear visibility for in-store/online,Dinestuc,,<100,,,Bernadette Wong,Perks & Mobile,Not Priority,Bernadette Wong this is something we've considered doing but we do not receive this information as a straightforward signal from our providers. Currently this info is only displayed for a handful of deals. ,,,,,,
"There is no filter in place when sending a recognition to prevent users from using inappropriate language (swearing, for example) that doesn't fit with the culture of the business",14/08/24,Patsnap,UK,Admin,Customer is looking to expand Perkbox into US and Canada. Wants to ensure company culture is respected with celebrations,Having a filter that either censors inappropriate words or makes the recognition impossible to post without changing the text,Global,120,"101-250, growing to 250 - 2000",Corporate Services,,Steve Hanmer,Recognition & Rewards,,,,,,,,
"Users can't recognise an entire team, only individuals",15/8/24,One Manchester,UK,User,Ease of use for customers,add the option to recognise an entire team ,Domestic,,250-2000,,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/6859606/conversation/87413502115634?view=List,Bernadette Wong,Recognition & Rewards,Under Consideration,This is under consideration Bernadette Wong,,,,,,
"Reducation of time spent administrating the platform, reduction in unspent points at activation ",15/08/2024,Internal - off the back of a COTM call that Omar went through,UK,Admin,Reduces the reactivate nature of deprovisioning users.,"As an admin, it'd be good to be able to provision deactivations in advance. E.g. I go to the platform and add something to say that user X gets deactivated on 21/08/2024 as that's his last day with us.The win would be that it'd become something that I only do once a month vs reactive when someone leaves -feasibly most companies have 30 day noticed period >> go in one once every 30 days and set the dates >> done.A potential extra win, we could solve for the ""unspent points on deactivated accounts"" by sending an automated email when a user is 7 days out from their last day, 1 day out, etc",N/A,N/A,,,,,,,,,,,,,
Admin created birthday automations on the same day as some employees' birthdays which meant they thought the automation would still send to them but it didn't.,16/08/2024,Pilgrim's Friend Society,,Admin,"Reduces confusion as admin thought it would go out immediately, https://huddlebuy.atlassian.net/browse/EXTBUGTRAK-6574","Add an explainer that anyone with a birthday on the day of the automation setup, won't receive their recognition/ reward until the following year.",Complex Domestic,,,,,Catherine Adamson,Recognition & Rewards,Under Consideration,"Noted Catherine Adamson, this is under consideration. ",,,,,,
"Hi team, this user has suggested if there can be expiry counts on each Flexi point 'line' on their Wallet page, since they're combining monthly allocations and pointsback to save for a big purchase, and want to keep an eye on all their expiration dates.",16/08/2024,Molinare TV & Film,UK,User,"Provides better expiration visibility, encourages utilisation through saving/spending.",Potentially a date or countdown tag on each FP allocation line on the Wallet balance page?,Simple Domestic,100,100-249,Consumer Product Manufacturing,,Sofie White,Wallet & Payments,Under Consideration,"We plan to add features informing users about the expiry, hopefully in Q4. This includes expiration date shown in the transaction history, for every allocation. ",,,,,,
Individual Savings Tracker beyond the UK and AUS.  Admins are very interested in having this visible for all of their teams.  They have a large portion of their users in the US as well as around Europe.  They are specifically interested in when this will be made available for the US.  ,19/08/2024,Medical Research Network,Global,Admin,They do regular Perkbox comms on their sharepoint which is visible to all employees.  The savings tracker is a great tool to help with engagement.  Excluding all of their other team other than the UK is not ideal.,Offer an estimated timeframe on when this will be rolled out for other countries ,Global,120,101-250,Corporate Services,,,Perks & Mobile,Not Priority,Sagal Ali this is something we're not focussed on currently. But I acknowledge that this wouldn't be ideal for customers who have employees in countries other than UK and AU,,,,,,
"Now that clients receive quarterly/semi-annually Flexi Points, it would be good for them to be able to set up a monthly automation of Reward Points to all employees so that they don't have to do it manually every single month. Just an internal suggestion :)",19/08/2024,Zapp,Global,Internal,"It would save time for admins who want their employees receiving a monthly allowance, just like the product automatically would do for them in the past, but with FP instead of RPs. It would also increase the usage, as employees would be logging in on monthly basis to redeem their monthly RPs",Adding a monthly allowance option to automations,Global,160,101-250,Consumer Services,,Ewelina Dudzik,Recognition & Rewards,Not Priority,,,,,,,
To have the ability to delete a budget pot on the Rewards feature. I have an admin who has 8 budget pots set up but only needs to keep 1 of them moving forward but isn't able to remove any redunant pots ,20/08/2024,People Insight Ltd,UK,Admin feedback ,,Giving the admin the ability to remove budget pots that are completely empty,UK,80,20-40,Corporate Services,,Chloe Hayfield ,Recognition & Rewards,Not Priority,,,,,,,
Expanding reward cat in the UAE - Ebury have shared this list that was obtained from the team managers over in Dubai as they are struggling with engagaement and suitable options for their team members to spend their reward points on.  https://docs.google.com/document/d/1BHlgPSX_w5DHoQez1DHiqisFnjxumES1OmvVyxhWQQY/edit?usp=sharing,21/08/2024,Ebury - Admin and User,Global,User,£79k account thinking about renewal in Feb. Do not have FP and heavy users of RP - renewal decision will be impacted if they can't offer their teams in other regions a similar experience. ,Exploring reatilers in the obtained list and possibility of adding to reward cat,Global,120,250-2000,Financial Services,,Sagal Ali,Recognition & Rewards,,Hi Sagal Ali- request flagging this up to the partnerships team. ,,,,,,
Adding more visibility options to automated recognitions. The client would like to send birthday automations with messages visible only to the recipient.,21/08/2024,Digihaul - Admin,UK,Admin,Increasing automation usage,"Matching the visibility options (recipient only, teams only, everyone) of the current ""manual"" recognitions with the automated ones. ",Scale,140,101-250,Transportation,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,Ewelina Dudzik- we have had similar feedback from a few more customers. This is under consideration. ,,,,,,
"Feedback from a customer who was hit with a 20% cash fee from his credit card provider who considers all gift card purchases as cash withdrawals (to be fair, it's just one bank in AU, though it's the biggest one CBA):

Furthermore, If sending out advise (as attached) should perkbox make mention that all users should first check with the financial institution when purchasing gift cards. You should recommend this as purchasing gift cards using a credit card may result in cash advance fees, interest from time of purchase (generally 20% plus) and loss of interest free period for all other purchases.
Maybe just a generic message that indicates :
Purchase gift cards through the Perkbox voucher system may incur charges from your financial provider. It is recommended you confirm this before purchasing vouchers. ",23/08/2024,C.EX Group,AU,Admin ,,,Simple Domestic,,,,,,,,,,,,,,
"Make platform more customisable to personalise experience. Visibility for Order History, transaction information and Favourite Perks.",26/8/24,User,Australia,User,Ease in user access,"For customisation, user suggested ability to opt out of hubs depending on the user, citing that they personally don't want the Wellness hub.

Favourites list - at the moment there's no designated link to pull up the favourites list. Add this as part of Perks hub with clear messaging.

Order History - order history doesn't show value of voucher or any other transaction histories incl. invoice. Add these to Order History. User also frustrated about location of Order History being inconvenient to locate.",,,250-2000,Sales,https://app.intercom.com/a/inbox/effyqzrr/inbox/team/6857966/conversation/87413502133646?view=List,Bernadette Wong,Perks & Mobile,In Progress,Bernadette Wong 2 out of the 3 things that are mentioned (Order history and My favourites) will be part of the app update going out shortly. Similarly for web to follow in Q4 / Q1. ,,,,,,
"""I had a bit of a random request regarding our Perkbox log in page (Perkbox | Login).

Due to the fact we allow staff to set up their own accounts by logging in via single sign on (which also stops duplicates being created), when people go to log in for the first time, they often don't think to sign in using SSO (even after being told to) as the 'enter your email/log in with one time code' is the more 'visible' / main option.

Is there a way to change the layout to set the Sign in Using Single Sign on(SSO) as the top / main sign in option?

We still want people to have the option to log in through email however as there are some that have issues with SSO.

If we could also remove the 'which email should I use?' as we don't issue Perkbox invites so this isn't applicable for us.""",27/08/2024,Corporate Travel Management Ltd,AU,admin,easier login process,"add a rule that excludes Which email do I use tip in some cases, put SSO option on top ",Large Global,,,"Leisure, Sports and Recreation",https://app.intercom.com/a/inbox/effyqzrr/inbox/team/5673338/conversation/87413502134319?view=List,Kate Sukhacheva,Customer Experience,,,,,,,,
"In-platform notification which tells a admin/user when their next Flexi point allocation is due. This would elimiate them needing to ask us, and help them to work out when to spend their FP.",27/08/2024,Empowered SMS Limited,UK,Admin,Less contact around allocation dates,Add a button or pop-up over the Flexi point wallet that says 'Your next allocation date is XX/XX/XX',UK Self-serve - Now scaled,60,<100,IT Services,https://us-30924.app.gong.io/call?id=3329771037947448736&xtid=3vyy2ygtocxfl97lfjk,Eleanor Stennett (BCS),Customer Experience,,,,,,,,
"Function that allows us as a CS team to see the last time an admin has used the  re-send activation email? This would help us to avoid explaining it, to then discover an admin has actually already used it recently. It would also avoid duplicated pressing between admins where there are multiple on an account.",27/08/2024,Empowered SMS Limited,UK,Admin,Less duplication of conversations around Admin tasks ,Add a field on SF that states when the 'activation' push was last used.,UK Self-serve - Now scaled,60,<100,IT Services,https://us-30924.app.gong.io/call?id=3329771037947448736&xtid=3vyy2ygtocxfl97lfjk,Eleanor Stennett (BCS),Customer Experience,,,,,,,,
Admin feels that the current anniversary automation lacks excitement and personalization. She'd prefer a message that highlights the recipient's milestone more meaningfully: "Congratulations on reaching X years with [Company Name]!". This would add a more personal touch and make the recognition feel more special. X years is crucial for her to see.  She switched it off because of that. ,28/08/2024,Gateway Group,AU,Admin,,add ability for automation to calculate years with the company,,,,,,,Recognition & Rewards,Under Consideration,The email that is triggered on the automation mentions the number of years (i.e 3rd work anniversary for example). The banner captures the number of years as well. The recognition message at this time does not. ,,,,,,
"To create upsell opportunities within the Perk redemption process. For example when purchasing a Cineworld ticket, automatically recommending the drinks and popcorn Perk. This would appear as a Recommended Perk after the initial redemption has taken place. ",28/08/2024,N/A,UK,N/A,Create upsell opportunities to increase revenue ,Add a 'Recommended for you' after a redemption has taken place ,N/A,N/A,N/A,Internal,N/A,Lauren Jones (CH),Customer Experience,,,,,,,,
